iter	Passed	Remaining
398	114694	144014
399	114983	143729
400	115288	143463
401	115574	143174
402	115868	142894
403	116178	142634
404	116480	142364
405	116769	142079
406	117071	141808
407	117381	141548
408	117667	141258
409	117953	140968
410	117998	140392
411	118311	140136
412	118627	139883
413	118938	139623
414	119232	139344
415	119545	139086
416	119835	138802
417	120130	138523
418	120446	138268
419	120730	137977
420	121020	137693
421	121307	137405
422	121618	137144
423	121904	136855
424	122188	136563
425	122519	136324
426	122871	136108
427	123170	135832
428	123457	135543
429	123766	135279
430	124078	135018
431	124408	134776
432	124717	134510
433	125011	134229
434	125301	133942
435	125598	133664
436	125900	133391
437	126201	133116
438	126498	132837
439	126801	132565
440	127093	132280
441	127380	131991
442	127672	131706
443	127988	131447
444	128274	131157
445	128567	130874
446	128857	130587
447	129161	130314
448	129452	130029
449	129767	129767
450	130088	129511
451	130378	129224
452	130672	128941
453	130971	128663
454	131274	128389
455	131558	128096
456	131857	127818
457	132122	127507
458	132406	127214
459	132681	126912
460	132963	126617
461	133243	126321
462	133503	126006
463	133765	125693
464	134044	125396
465	134329	125104
466	134623	124822
467	134927	124548
468	135242	124284
469	135555	124019
470	135836	123723
471	136109	123421
472	136386	123122
473	136669	122829
474	136953	122537
475	137232	122240
476	137520	121952
477	137800	121656
478	138071	121353
479	138338	121046
480	138625	120756
481	138911	120466
482	139195	120174
483	139470	119875
484	139764	119592
485	140043	119296
486	140368	119039
487	140683	118773
488	140974	118488
489	141248	118187
490	141528	117892
491	141821	117607
492	142094	117306
493	142371	117009
494	142642	116707
495	142931	116419
496	143201	116117
497	143482	115823
498	143760	115526
499	144058	115246
500	144334	114948
501	144591	114636
502	144851	114326
503	145133	114033
504	145390	113721
505	145639	113403
506	145936	113122
507	146237	112844
508	146487	112527
509	146527	112050
510	146802	111753
511	147095	111471
512	147369	111173
513	147641	110874
514	147907	110571
515	148199	110288
516	148484	109999
517	148757	109701
518	149017	109394
519	149318	109117
520	149601	108827
521	149880	108533
522	150163	108243
523	150468	107970
524	150753	107681
525	151031	107387
526	151355	107126
527	151662	106852
528	151950	106566
529	152229	106273
530	152535	105999
531	152833	105719
532	153126	105436
533	153427	105158
534	153717	104872
535	153997	104580
536	154268	104281
537	154555	103994
538	154836	103703
539	155138	103425
540	155463	103163
541	155774	102891
542	156080	102616
543	156365	102327
544	156670	102051
545	156994	101787
546	157291	101505
547	157586	101223
548	157896	100950
549	158189	100665
550	158481	100381
551	158769	100093
552	159063	99810
553	159347	99520
554	159647	99240
555	159961	98969
556	160253	98683
557	160545	98398
558	160842	98116
559	161147	97839
560	161429	97548
561	161714	97258
562	162041	96994
563	162069	96552
564	162394	96286
565	162691	96005
566	163000	95730
567	163303	95452
568	163585	95161
569	163878	94876
570	164197	94607
571	164493	94324
572	164789	94042
573	165080	93756
574	165395	93484
575	165681	93195
576	165969	92908
577	165980	92466
578	166292	92193
579	166589	91911
580	166877	91624
581	167162	91336
582	167474	91062
583	167783	90786
584	168092	90511
585	168402	90236
586	168698	89953
587	169004	89675
588	169293	89389
589	169600	89112
590	169895	88828
591	170181	88540
592	170485	88261
593	170799	87987
594	171101	87707
595	171402	87426
596	171705	87146
597	172008	86867
598	172300	86581
599	172609	86304
600	172933	86035
601	173272	85772
602	173596	85502
603	173919	85231
604	174223	84951
605	174512	84664
606	174830	84390
607	175127	84107
608	175415	83819
609	175714	83536
610	176031	83261
611	176340	82983
612	176633	82698
613	176950	82423
614	177234	82133
615	177527	81846
616	177833	81567
617	178162	81297
618	178469	81017
619	178792	80745
620	179126	80476
621	179427	80194
622	179748	79920
623	180055	79639
624	180373	79364
625	180666	79077
626	180956	78789
627	181258	78506
628	181577	78231
629	181882	77949
630	182181	77665
631	182510	77393
632	182838	77121
633	183155	76844
634	183475	76568
635	183780	76286
636	184096	76008
637	184408	75728
638	184721	75449
639	185016	75163
640	185296	74870
641	185577	74577
642	185883	74295
643	186159	74001
644	186433	73706
645	186706	73410
646	187012	73128
647	187297	72838
648	187572	72543
649	187846	72248
650	188152	71966
651	188437	71675
652	188730	71388
653	189047	71109
654	189354	70827
655	189670	70548
656	189985	70268
657	190302	69989
658	190623	69712
659	190942	69433
660	191257	69153
661	191582	68877
662	191908	68600
663	192218	68318
664	192553	68045
665	192872	67766
666	193177	67481
667	193502	67204
668	193588	66844
669	193923	66570
670	194239	66290
671	194565	66013
672	194904	65740
673	195258	65472
674	195595	65198
675	195919	64919
676	196246	64642
677	196609	64376
678	196951	64103
679	197294	63830
680	197307	63451
681	197655	63180
682	197993	62905
683	198297	62620
684	198602	62334
685	198928	62056
686	199221	61767
687	199516	61478
688	199831	61196
689	200126	60908
690	200430	60622
691	200743	60339
692	201067	60059
693	201361	59770
694	201383	59400
695	201673	59111
696	202026	58839
697	202323	58551
698	202626	58265
699	202930	57980
700	203248	57698
701	203551	57411
702	203842	57122
703	204151	56837
704	204449	56549
705	204742	56260
706	205033	55971
707	205346	55687
708	205641	55398
709	205941	55111
710	206258	54828
711	206562	54541
712	206861	54254
713	207155	53964
714	207459	53678
715	207758	53390
716	208054	53101
717	208364	52816
718	208640	52522
719	208905	52226
720	209161	51927
721	209434	51633
722	209691	51335
723	209948	51037
724	210215	50741
725	210506	50451
726	210778	50157
727	211042	49861
728	211312	49567
729	211615	49280
730	211879	48984
731	212131	48685
732	212424	48396
733	212730	48110
734	213028	47822
735	213324	47534
736	213637	47249
737	213923	46958
738	214199	46665
739	214472	46372
740	214797	46090
741	215091	45801
742	215387	45512
743	215703	45228
744	216006	44941
745	216296	44651
746	216589	44361
747	216994	44095
748	217313	43810
749	217622	43524
750	217941	43240
751	218242	42952
752	218537	42662
753	218859	42378
754	219158	42090
755	219445	41799
756	219737	41509
757	220039	41221
758	220336	40932
759	220628	40642
760	220917	40351
761	221215	40062
762	221515	39774
763	221823	39486
764	222139	39201
765	222478	38919
766	222771	38629
767	223053	38337
768	223357	38049
769	223647	37758
770	223958	37471
771	224264	37183
772	224550	36892
773	224844	36602
774	225137	36312
775	225442	36024
776	225737	35734
777	226024	35443
778	226331	35155
779	226621	34864
780	226910	34574
781	227206	34284
782	227519	33997
783	227828	33709
784	228125	33419
785	228429	33130
786	228738	32843
787	229034	32553
788	229327	32262
789	229637	31974
790	229926	31683
791	230220	31393
792	230535	31106
793	230843	30817
794	231138	30527
795	231415	30235
796	231721	29946
797	232014	29655
798	232312	29366
799	232602	29075
800	232911	28786
801	233245	28501
802	233560	28213
803	233872	27925
804	234174	27635
805	234471	27345
806	234772	27055
807	235075	26766
808	235363	26474
809	235639	26182
810	235943	25892
811	236246	25603
812	236537	25312
813	236829	25021
814	236868	24704
815	237168	24414
816	237467	24124
817	237765	23834
818	238083	23546
819	238383	23256
820	238676	22966
821	238982	22677
822	239288	22387
823	239562	22095
824	239861	21805
825	240175	21516
826	240472	21226
827	240758	20935
828	241035	20643
829	241328	20352
830	241617	20062
831	241911	19771
832	242215	19481
833	242535	19193
834	242817	18901
835	243099	18610
836	243398	18320
837	243691	18029
838	243983	17738
839	244305	17450
840	244653	17163
841	244942	16872
842	245217	16580
843	245530	16291
844	245827	16000
845	246115	15709
846	246412	15418
847	246728	15129
848	247019	14838
849	247311	14547
850	247615	14257
851	247912	13966
852	248195	13675
853	248474	13383
854	248780	13093
855	249088	12803
856	249389	12513
857	249403	12208
858	249716	11918
859	250053	11630
860	250397	11342
861	250692	11051
862	251006	10761
863	251295	10470
864	251570	10179
865	251822	9886
866	252096	9595
867	252393	9304
868	252689	9014
869	252983	8723
870	253289	8433
871	253574	8142
872	253861	7851
873	254152	7560
874	254434	7269
875	254720	6978
876	255014	6687
877	255343	6398
878	255650	6107
879	255954	5817
880	256248	5526
881	256545	5235
882	256844	4944
883	257142	4654
884	257446	4363
885	257725	4072
886	258006	3781
887	258300	3490
888	258593	3199
889	258884	2908
890	259192	2618
891	259501	2327
892	259797	2036
893	260066	1745
894	260355	1454
895	260693	1163
896	261008	872
897	261312	581
898	261622	291
899	261933	0
