iter	RMSE
350	21.25465162
351	21.21435138
352	21.19270903
353	21.17636353
354	21.14992775
355	21.12194252
356	21.09515433
357	21.06870565
358	21.02596106
359	21.001774
360	20.96333446
361	20.93399174
362	20.9053911
363	20.89074161
364	20.85586128
365	20.82573299
366	20.80699456
367	20.77267747
368	20.74888731
369	20.72495028
370	20.68644904
371	20.67285256
372	20.66094916
373	20.64185545
374	20.61974672
375	20.5836331
376	20.55902423
377	20.54717445
378	20.52007819
379	20.49673098
380	20.47323078
381	20.45867903
382	20.44112498
383	20.42420637
384	20.38716774
385	20.36853594
386	20.35067454
387	20.33686342
388	20.30913888
389	20.27364483
390	20.25535043
391	20.24402491
392	20.22304379
393	20.20903152
394	20.18905917
395	20.17971827
396	20.15131094
397	20.13064426
398	20.09865683
399	20.07321185
400	20.05916437
401	20.03435119
402	20.0228604
403	19.99787105
404	19.97592213
405	19.93692181
406	19.91572243
407	19.89408551
408	19.86869251
409	19.84185289
410	19.8190232
411	19.79898182
412	19.79015584
413	19.77451431
414	19.76334629
415	19.75159747
416	19.73851789
417	19.72527666
418	19.706273
419	19.68315232
420	19.66479153
421	19.64519934
422	19.63111062
423	19.60615492
424	19.58710284
425	19.56917978
426	19.55201728
427	19.53858661
428	19.49229237
429	19.47494493
430	19.46058986
431	19.44552766
432	19.42872038
433	19.4171054
434	19.38905813
435	19.3701746
436	19.35392115
437	19.33989697
438	19.31631307
439	19.29601752
440	19.2760518
441	19.26341148
442	19.24772354
443	19.21173814
444	19.19993008
445	19.17524093
446	19.16752339
447	19.14880001
448	19.1286819
449	19.11823167
450	19.1004765
451	19.09098819
452	19.0747181
453	19.06183377
454	19.04377982
455	19.02139289
456	19.00737628
457	18.98213091
458	18.96758037
459	18.95470571
460	18.94350313
461	18.9258737
462	18.91983952
463	18.90549137
464	18.89241938
465	18.86726098
466	18.85582588
467	18.84144701
468	18.81953225
469	18.79488172
470	18.78040473
471	18.76385381
472	18.75157877
473	18.7331591
474	18.72065291
475	18.70956822
476	18.69638672
477	18.67938718
478	18.66573521
479	18.65277215
480	18.63631538
481	18.62319942
482	18.61310475
483	18.59068495
484	18.56926737
485	18.53993516
486	18.52573623
487	18.5098672
488	18.48532435
489	18.46702488
490	18.44716575
491	18.42515322
492	18.41006616
493	18.38452405
494	18.37072465
495	18.3472003
496	18.3322967
497	18.31589027
498	18.30549004
499	18.28985232
500	18.27659059
501	18.26441196
502	18.25096363
503	18.24036589
504	18.21853981
505	18.19378169
506	18.16815367
507	18.15889841
508	18.14422618
509	18.12821487
510	18.11297525
511	18.09426298
512	18.06602467
513	18.04359384
514	18.02611142
515	18.0088412
516	17.98638031
517	17.97594694
518	17.96272118
519	17.94583023
520	17.92742654
521	17.90875061
522	17.89195338
523	17.88002298
524	17.86641594
525	17.85474042
526	17.83868504
527	17.81932563
528	17.80923732
529	17.79388473
530	17.76890012
531	17.75780711
532	17.73941383
533	17.72356624
534	17.70863255
535	17.67195268
536	17.66146153
537	17.64165377
538	17.62793768
539	17.61478938
540	17.59519757
541	17.58592266
542	17.57218055
543	17.5544649
544	17.53829147
545	17.5132281
546	17.49923826
547	17.48697241
548	17.45502796
549	17.4414662
550	17.42224583
551	17.40836359
552	17.39925795
553	17.37511109
554	17.36388515
555	17.34552667
556	17.33365533
557	17.3226709
558	17.28968034
559	17.28143538
560	17.26823282
561	17.24751093
562	17.23475564
563	17.21427551
564	17.19362362
565	17.183407
566	17.16651905
567	17.15187349
568	17.14726303
569	17.13809032
570	17.12914343
571	17.11864962
572	17.10835871
573	17.09203397
574	17.07383983
575	17.06065311
576	17.03943287
577	17.0262709
578	17.01272937
579	16.99322367
580	16.98454219
581	16.97346104
582	16.96387192
583	16.9551137
584	16.94717205
585	16.93184921
586	16.92121068
587	16.91300493
588	16.89870387
589	16.89044542
590	16.86845664
591	16.85271899
592	16.84331536
593	16.82822731
594	16.81504076
595	16.79603355
596	16.776653
597	16.76097923
598	16.73403094
599	16.72368906
600	16.71227941
601	16.69612061
602	16.68162966
603	16.66585668
604	16.64670205
605	16.63403538
606	16.6164436
607	16.60154337
608	16.58296968
609	16.56781141
610	16.55800739
611	16.54677683
612	16.53339584
613	16.51019902
614	16.49264919
615	16.48065552
616	16.47227824
617	16.46215419
618	16.44986751
619	16.43593141
620	16.41485763
621	16.41355428
622	16.39923938
623	16.38588305
624	16.38173046
625	16.37259795
626	16.36183518
627	16.35243312
628	16.33973029
629	16.32778305
630	16.31151775
631	16.2953692
632	16.28715055
633	16.27559507
634	16.26344078
635	16.25386403
636	16.23209466
637	16.21637108
638	16.20395749
639	16.19064124
640	16.17939058
641	16.16536993
642	16.15814696
643	16.15034241
644	16.14822603
645	16.13754418
646	16.1270704
647	16.10729357
648	16.09181195
649	16.08376142
650	16.06920549
651	16.06175637
652	16.05144382
653	16.04021973
654	16.03200143
655	16.02067013
656	16.00823489
657	15.99802561
658	15.98929071
659	15.9780694
660	15.95413878
661	15.92863635
662	15.91718256
663	15.91021946
664	15.90083001
665	15.8938846
666	15.88426588
667	15.86607096
668	15.84883797
669	15.83680891
670	15.82460285
671	15.81200074
672	15.78649868
673	15.77258777
674	15.76561027
675	15.75334983
676	15.73899169
677	15.72585959
678	15.70340196
679	15.6892071
680	15.66979429
681	15.65858798
682	15.64514983
683	15.63032078
684	15.62081817
685	15.61219367
686	15.60206975
687	15.58983579
688	15.57910842
689	15.564467
690	15.55713828
691	15.5391608
692	15.5342896
693	15.52604281
694	15.50076224
695	15.48771051
696	15.48120915
697	15.46505429
698	15.45821078
699	15.44193983
700	15.42818602
701	15.42702708
702	15.4089342
703	15.40282671
704	15.39230665
705	15.3809842
706	15.37020087
707	15.3569733
708	15.34867795
709	15.33691041
710	15.32049165
711	15.30425348
712	15.29453634
713	15.28799052
714	15.27731902
715	15.24940095
716	15.23498543
717	15.21327415
718	15.20170725
719	15.18773862
720	15.17529338
721	15.16520056
722	15.15640633
723	15.14602761
724	15.13840157
725	15.12429145
726	15.11525452
727	15.10839337
728	15.09625937
729	15.086769
730	15.07149404
731	15.06383539
732	15.05340182
733	15.04617456
734	15.03515452
735	15.02880704
736	15.0217541
737	15.01011469
738	15.00441358
739	14.99092409
740	14.97487809
741	14.96708238
742	14.95908121
743	14.94967312
744	14.93783618
745	14.92220809
746	14.91385056
747	14.9045842
748	14.89903537
749	14.88846599
750	14.87927484
751	14.86622505
752	14.84229051
753	14.83539643
754	14.82838694
755	14.81221493
756	14.80533376
757	14.79214362
758	14.78189678
759	14.75454804
760	14.74605619
761	14.73525448
762	14.72966594
763	14.72099565
764	14.71365762
765	14.70696133
766	14.69926766
767	14.68248947
768	14.67617585
769	14.6659457
770	14.65649934
771	14.64776274
772	14.63899021
773	14.63185954
774	14.62168277
775	14.61165248
776	14.60619901
777	14.59477862
778	14.58581895
779	14.56626026
780	14.56128834
781	14.5528991
782	14.54150888
783	14.52918199
784	14.52022657
785	14.51481124
786	14.50711188
787	14.49741275
788	14.48909157
789	14.47577197
790	14.47250133
791	14.45484875
792	14.44877543
793	14.43938509
794	14.42753535
795	14.41306133
796	14.40314314
797	14.39102174
798	14.37847783
799	14.37142612
800	14.35836363
801	14.34514572
802	14.33151686
803	14.32080719
804	14.31202062
805	14.30076015
806	14.28768198
807	14.27330457
808	14.26278479
809	14.25357687
810	14.24373019
811	14.23596614
812	14.23248841
813	14.22567928
814	14.21797455
815	14.20643423
816	14.19275834
817	14.18336196
818	14.16900092
819	14.16233789
820	14.15468396
821	14.14915433
822	14.14116179
823	14.13190022
824	14.12326497
825	14.11385948
826	14.10225862
827	14.09009431
828	14.07688933
829	14.06613008
830	14.05589298
831	14.04334638
832	14.03847681
833	14.03244213
834	14.01995556
835	14.01403941
836	14.00013856
837	13.99076866
838	13.98019102
839	13.97314292
840	13.95919834
841	13.94852057
842	13.93959319
843	13.93389048
844	13.9229302
845	13.91580261
846	13.90140173
847	13.89547935
848	13.88675019
849	13.87865248
850	13.87038628
851	13.86475112
852	13.85660807
853	13.84708172
854	13.83929053
855	13.83185537
856	13.82299444
857	13.8141913
858	13.80573595
859	13.79439802
860	13.78292504
861	13.77269849
862	13.76707207
863	13.75417285
864	13.73924688
865	13.72158179
866	13.7118227
867	13.70309684
868	13.69679293
869	13.69220522
870	13.68016939
871	13.66611664
872	13.65502726
873	13.64835861
874	13.63525479
875	13.62319464
876	13.61409818
877	13.60539495
878	13.59822059
879	13.58559881
880	13.57699396
881	13.56523981
882	13.55185531
883	13.54135624
884	13.533675
885	13.5197068
886	13.5123769
887	13.51014391
888	13.49661795
889	13.48919021
890	13.47729431
891	13.46836819
892	13.45749291
893	13.44313112
894	13.43560473
895	13.42356657
896	13.41539634
897	13.40770774
898	13.40160904
899	13.38803205
